State/UT,Number of Primary Health Centers(PHCs),Community Health Centers(CHCs),Sub-District/Divisional Hospitals(SDHs),District Hospitals(DHs),Hospitals,HospitalBeds
Andaman and Nicobar Islands,27.0,4.0,0.0,3.0,34.0,1246.0
Andhra Pradesh,1417.0,198.0,31.0,20.0,1666.0,60799.0
Arunachal Pradesh,122.0,62.0,0.0,15.0,199.0,2320.0
Assam,1007.0,166.0,14.0,33.0,1220.0,19115.0
Bihar,2007.0,63.0,33.0,43.0,2146.0,17796.0
Chandigarh,40.0,2.0,1.0,4.0,47.0,3756.0
Chhattisgarh,813.0,166.0,12.0,32.0,1023.0,14354.0
Dadra and Nagar Haveli,9.0,2.0,1.0,1.0,13.0,568.0
Daman and Diu,4.0,2.0,0.0,2.0,8.0,298.0
Nct Of Delhi,534.0,25.0,9.0,47.0,615.0,20572.0
Goa,31.0,4.0,2.0,3.0,40.0,2666.0
Gujarat,1770.0,385.0,44.0,37.0,2236.0,41129.0
Haryana,500.0,131.0,24.0,28.0,683.0,13841.0
Himachal Pradesh,516.0,79.0,61.0,15.0,671.0,8706.0
Jammu and Kashmir,702.0,87.0,0.0,29.0,818.0,11342.0
Jharkhand,343.0,179.0,13.0,23.0,558.0,7404.0
Karnataka,2547.0,207.0,147.0,42.0,2943.0,56333.0
Kerala,933.0,229.0,82.0,53.0,1297.0,39511.0
Lakshadweep,4.0,3.0,2.0,1.0,10.0,250.0
Madhya Pradesh,1420.0,324.0,72.0,51.0,1867.0,38140.0
Maharashtra,2638.0,430.0,101.0,70.0,3239.0,68998.0
Manipur,87.0,17.0,1.0,9.0,114.0,2562.0
Meghalaya,138.0,29.0,0.0,13.0,180.0,4585.0
Mizoram,65.0,10.0,3.0,9.0,87.0,2312.0
Nagaland,134.0,21.0,0.0,11.0,166.0,1944.0
Orissa,1360.0,377.0,27.0,35.0,1799.0,16497.0
Pondicherry,40.0,4.0,5.0,4.0,53.0,4462.0
Punjab,521.0,146.0,47.0,28.0,742.0,13527.0
Rajasthan,2463.0,579.0,64.0,33.0,3139.0,51844.0
Sikkim,25.0,2.0,1.0,4.0,32.0,1145.0
Tamil Nadu,1854.0,385.0,310.0,32.0,2581.0,72616.0
Telangana,788.0,82.0,47.0,15.0,932.0,17358.0
Tripura,114.0,22.0,12.0,9.0,157.0,4895.0
Uttar Pradesh,3277.0,671.0,0.0,174.0,4122.0,58310.0
Uttarakhand,275.0,69.0,19.0,20.0,383.0,6660.0
West Bengal,1374.0,406.0,70.0,55.0,1905.0,51163.0
All India,29899.0,5568.0,1255.0,1003.0,37725.0,739024.0
